Order ID,Order Date,Ship Date,Ship Mode,Segment,State,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
CA-1000,2018-01-31,2018-02-04,First Class,Home Office,Illinois,East,Office Supplies,Binders,950.96,8,0.0,93.6
CA-1001,2015-05-02,2015-05-05,Same Day,Corporate,Texas,East,Office Supplies,Labels,104.48,8,0.0,10.51
CA-1002,2015-05-11,2015-05-17,Same Day,Home Office,Texas,South,Technology,Phones,61.13,8,0.3,11.52
CA-1003,2016-01-21,2016-01-25,Same Day,Corporate,New York,East,Office Supplies,Binders,187.49,6,0.0,2.99
CA-1004,2016-04-19,2016-04-22,Second Class,Home Office,Washington,Central,Furniture,Furnishings,402.86,3,0.3,16.11
CA-1005,2017-04-11,2017-04-12,First Class,Corporate,New York,South,Furniture,Tables,51.22,3,0.2,-4.7
CA-1006,2015-06-16,2015-06-18,Second Class,Consumer,Florida,West,Furniture,Tables,949.14,2,0.1,-40.74
CA-1007,2016-07-18,2016-07-20,Same Day,Corporate,Texas,West,Technology,Accessories,685.81,7,0.3,22.85
CA-1008,2015-02-04,2015-02-10,First Class,Consumer,California,West,Furniture,Chairs,394.11,2,0.3,49.02
CA-1009,2017-10-18,2017-10-24,Second Class,Corporate,California,West,Office Supplies,Binders,211.9,4,0.1,-35.16
CA-1010,2016-02-06,2016-02-08,Same Day,Corporate,Washington,East,Furniture,Chairs,452.51,4,0.1,66.64
CA-1011,2018-07-18,2018-07-24,Standard Class,Consumer,California,West,Office Supplies,Appliances,200.0,9,0.1,-6.72
CA-1012,2016-12-20,2016-12-25,First Class,Consumer,Illinois,South,Furniture,Tables,274.99,5,0.3,-4.16
CA-1013,2017-02-02,2017-02-06,First Class,Corporate,California,West,Office Supplies,Binders,544.98,9,0.0,109.59
CA-1014,2015-03-06,2015-03-07,Standard Class,Corporate,Texas,West,Furniture,Tables,986.95,8,0.0,-99.33
CA-1015,2017-12-22,2017-12-25,First Class,Home Office,Florida,South,Technology,Copiers,202.85,8,0.2,31.66
CA-1016,2016-01-14,2016-01-19,Same Day,Corporate,Texas,West,Technology,Machines,926.67,9,0.3,150.2
CA-1017,2017-02-18,2017-02-20,Same Day,Corporate,Florida,South,Furniture,Tables,99.93,7,0.2,10.75
CA-1018,2017-03-15,2017-03-18,Standard Class,Home Office,Texas,South,Technology,Copiers,593.34,6,0.2,38.27
CA-1019,2016-09-04,2016-09-10,First Class,Corporate,Texas,Central,Office Supplies,Binders,849.67,5,0.1,-62.71
CA-1020,2016-02-02,2016-02-05,Same Day,Corporate,Texas,South,Technology,Machines,525.12,3,0.2,104.13
CA-1021,2018-06-18,2018-06-22,Standard Class,Consumer,Texas,East,Furniture,Chairs,565.46,4,0.1,-66.33
CA-1022,2015-08-19,2015-08-24,Second Class,Consumer,California,East,Office Supplies,Labels,542.14,4,0.0,-87.56
CA-1023,2018-06-20,2018-06-26,Second Class,Consumer,Texas,Central,Furniture,Furnishings,881.07,9,0.0,207.69
CA-1024,2017-11-17,2017-11-21,First Class,Corporate,California,South,Office Supplies,Binders,190.64,7,0.3,-2.92
CA-1025,2015-07-09,2015-07-10,Standard Class,Consumer,Illinois,South,Furniture,Chairs,275.77,9,0.3,-4.58
CA-1026,2018-07-06,2018-07-12,Same Day,Home Office,New York,South,Furniture,Chairs,513.19,9,0.1,-41.08
CA-1027,2018-06-11,2018-06-15,Second Class,Home Office,Illinois,East,Furniture,Bookcases,247.9,6,0.3,10.31
CA-1028,2018-06-10,2018-06-14,First Class,Corporate,New York,South,Furniture,Bookcases,366.81,1,0.1,92.84
CA-1029,2018-11-10,2018-11-13,First Class,Consumer,Illinois,Central,Furniture,Tables,304.37,1,0.3,-38.68
CA-1030,2015-04-23,2015-04-25,First Class,Corporate,Texas,Central,Technology,Copiers,505.17,6,0.2,-24.52
CA-1031,2018-06-02,2018-06-03,Second Class,Corporate,Washington,South,Technology,Copiers,243.36,2,0.0,10.88
CA-1032,2018-12-10,2018-12-14,First Class,Home Office,Washington,West,Technology,Phones,85.45,8,0.2,-5.39
CA-1033,2015-10-21,2015-10-26,First Class,Home Office,Florida,Central,Furniture,Furnishings,634.14,6,0.1,38.75
CA-1034,2017-01-21,2017-01-22,Same Day,Corporate,New York,East,Furniture,Bookcases,154.96,6,0.3,-19.48
CA-1035,2016-10-21,2016-10-25,Standard Class,Home Office,California,South,Technology,Machines,679.18,3,0.1,34.26
CA-1036,2015-05-27,2015-05-31,Standard Class,Corporate,California,West,Office Supplies,Binders,646.95,4,0.0,94.11
CA-1037,2016-07-04,2016-07-06,Standard Class,Corporate,Texas,Central,Office Supplies,Storage,838.52,9,0.0,-80.05
CA-1038,2018-12-09,2018-12-15,First Class,Corporate,Washington,Central,Furniture,Tables,697.31,7,0.3,-54.92
CA-1039,2016-09-15,2016-09-16,Same Day,Corporate,Florida,South,Furniture,Chairs,519.05,1,0.1,139.27
CA-1040,2015-09-11,2015-09-15,Standard Class,Consumer,California,Central,Technology,Phones,560.5,7,0.0,-33.95
CA-1041,2017-03-26,2017-03-29,Standard Class,Corporate,Texas,East,Furniture,Tables,857.04,6,0.3,146.31
CA-1042,2016-09-19,2016-09-22,Second Class,Home Office,Florida,South,Office Supplies,Binders,935.96,4,0.1,113.29
CA-1043,2015-09-11,2015-09-14,Standard Class,Corporate,Florida,South,Furniture,Tables,375.42,9,0.2,86.15
CA-1044,2017-07-02,2017-07-08,First Class,Consumer,Florida,East,Furniture,Tables,550.99,6,0.2,55.53
CA-1045,2015-06-10,2015-06-14,First Class,Corporate,California,East,Technology,Phones,241.06,5,0.3,29.23
CA-1046,2018-11-16,2018-11-19,First Class,Consumer,Washington,West,Furniture,Chairs,659.32,1,0.3,-70.69
CA-1047,2016-04-14,2016-04-20,Second Class,Corporate,California,Central,Office Supplies,Appliances,247.77,6,0.1,-0.77
CA-1048,2016-03-13,2016-03-16,Second Class,Home Office,Florida,Central,Furniture,Chairs,437.22,5,0.1,48.22
CA-1049,2017-05-28,2017-05-29,Standard Class,Corporate,Washington,Central,Office Supplies,Paper,199.27,3,0.3,-26.2
CA-1050,2017-12-08,2017-12-09,First Class,Corporate,Texas,Central,Technology,Accessories,994.58,5,0.1,-13.36
CA-1051,2017-11-26,2017-12-01,Second Class,Corporate,Florida,West,Technology,Copiers,431.04,5,0.2,97.18
CA-1052,2017-09-19,2017-09-23,First Class,Home Office,California,West,Furniture,Tables,297.98,5,0.3,47.05
CA-1053,2018-07-03,2018-07-06,Same Day,Corporate,New York,East,Office Supplies,Appliances,173.65,9,0.1,41.9
